Año,Trimestre,Provincia,Accesos por cada 100 hogares (Provincia),Accesos por cada 100 hab (Provincia),Accesos por cada 100 hogares (Total),Accesos por cada 100 hab (Total)
2022,2,La Rioja,80.14,21.3314092169144,75.9654243719137,23.7204423164287
2022,2,Mendoza,49.39,13.7822337845706,75.9654243719137,23.7204423164287
2022,2,Misiones,51.0,13.8900281819679,75.9654243719137,23.7204423164287
2022,2,Neuquén,80.02,23.8174575281712,75.9654243719137,23.7204423164287
2022,2,Río Negro,67.85,20.8675435273834,75.9654243719137,23.7204423164287
2022,2,Salta,57.54,13.9360105574487,75.9654243719137,23.7204423164287
2022,2,San Juan,49.46,12.5979124556312,75.9654243719137,23.7204423164287
2022,2,San Luis,81.76,23.3969726787719,75.9654243719137,23.7204423164287
2022,2,Santa Cruz,43.15,12.8396228385264,75.9654243719137,23.7204423164287
2022,2,Santa Fe,77.9,24.4959067991646,75.9654243719137,23.7204423164287
2022,2,Santiago Del Estero,47.7,11.8367379681289,75.9654243719137,23.7204423164287
2022,2,Tierra Del Fuego,99.86,29.604955264969,75.9654243719137,23.7204423164287
2022,2,Tucumán,59.31,14.6914572899128,75.9654243719137,23.7204423164287
2022,1,Buenos Aires,76.0781466115726,25.5630301520284,73.8788028445262,23.0491710386977
2022,1,Capital Federal,111.797862691747,46.0143476214435,73.8788028445262,23.0491710386977
2022,1,Catamarca,58.2063508356117,14.8056195749953,73.8788028445262,23.0491710386977
2022,1,Chaco,44.0594800994188,11.7753420404361,73.8788028445262,23.0491710386977
2022,1,Chubut,88.0527409383577,26.9887596631044,73.8788028445262,23.0491710386977
2022,1,Córdoba,85.7574535631355,26.2552622183512,73.8788028445262,23.0491710386977
2022,1,Corrientes,47.6446351415023,12.5452812873128,73.8788028445262,23.0491710386977
2022,1,Entre Ríos,63.7009034712316,19.0454052709211,73.8788028445262,23.0491710386977
2022,1,Formosa,34.9556869957513,8.89642743559843,73.8788028445262,23.0491710386977
2022,1,Jujuy,58.0646286642678,14.8476418286294,73.8788028445262,23.0491710386977
2022,1,La Pampa,91.6633253140871,30.2004150314026,73.8788028445262,23.0491710386977
2022,1,La Rioja,78.774598665645,20.9691741722694,73.8788028445262,23.0491710386977
2022,1,Mendoza,48.7352409355834,13.5994765497552,73.8788028445262,23.0491710386977
2022,1,Misiones,49.0433419977295,13.3575393367025,73.8788028445262,23.0491710386977
2022,1,Neuquén,74.1730550999272,22.0774604260943,73.8788028445262,23.0491710386977
2022,1,Río Negro,67.0364075498703,20.6182298408439,73.8788028445262,23.0491710386977
2022,1,Salta,56.1075934084976,13.5881660533538,73.8788028445262,23.0491710386977
2022,1,San Juan,43.5459816093316,11.0921164686066,73.8788028445262,23.0491710386977
2022,1,San Luis,80.7242306060177,23.1016562316874,73.8788028445262,23.0491710386977
2022,1,Santa Cruz,43.3384231105305,12.8942973288096,73.8788028445262,23.0491710386977
2022,1,Santa Fe,77.304584747584,24.3073969989344,73.8788028445262,23.0491710386977
2022,1,Santiago Del Estero,47.1727383932405,11.7068821320295,73.8788028445262,23.0491710386977
2022,1,Tierra Del Fuego,98.2905503867279,29.1386510406859,73.8788028445262,23.0491710386977
2022,1,Tucumán,57.3900322723119,14.2155333342981,73.8788028445262,23.0491710386977
2021,4,Buenos Aires,75.6641060233847,25.3625141144029,73.1763965281478,22.810702052175
2021,4,Capital Federal,111.270026128917,45.8485107145629,73.1763965281478,22.810702052175
2021,4,Catamarca,55.2526999859741,14.0542237592254,73.1763965281478,22.810702052175
2021,4,Chaco,44.0485638902593,11.7723994581641,73.1763965281478,22.810702052175
2021,4,Chubut,82.5734006387143,25.309325144657,73.1763965281478,22.810702052175
2021,4,Córdoba,84.5094185304609,25.8731537155377,73.1763965281478,22.810702052175
2021,4,Corrientes,45.5101610294635,11.9831985526209,73.1763965281478,22.810702052175
2021,4,Entre Ríos,63.1553614361658,18.8822776766148,73.1763965281478,22.810702052175
2021,4,Formosa,34.4545746388443,8.76886524220062,73.1763965281478,22.810702052175
2021,4,Jujuy,56.9210705148705,14.5552419442425,73.1763965281478,22.810702052175
2021,4,La Pampa,89.5673427024131,29.509892061531,73.1763965281478,22.810702052175
2021,4,La Rioja,77.9234900964576,20.742382050284,73.1763965281478,22.810702052175
2021,4,Mendoza,47.5053170903177,13.2562590069906,73.1763965281478,22.810702052175
2021,4,Misiones,49.064620730585,13.3633190432684,73.1763965281478,22.810702052175
2021,4,Neuquén,73.3001625402001,21.8175631190774,73.1763965281478,22.810702052175
2021,4,Río Negro,65.6948996116065,20.2056135684454,73.1763965281478,22.810702052175
2021,4,Salta,56.8144260576222,13.7593376914977,73.1763965281478,22.810702052175
2021,4,San Juan,39.5888518648717,10.0841332359703,73.1763965281478,22.810702052175
2021,4,San Luis,80.2957828313538,22.9789562419762,73.1763965281478,22.810702052175
2021,4,Santa Cruz,43.0512146611735,12.8088213538475,73.1763965281478,22.810702052175
2021,4,Santa Fe,77.0892017943923,24.2396579975196,73.1763965281478,22.810702052175
2021,4,Santiago Del Estero,47.0459491943867,11.6754404704801,73.1763965281478,22.810702052175
2021,4,Tierra Del Fuego,98.4006164486543,29.1710078391825,73.1763965281478,22.810702052175
2021,4,Tucumán,55.9259910242439,13.8528804464241,73.1763965281478,22.810702052175
2021,3,Buenos Aires,71.6821894010193,23.9698919039995,70.5788534144302,21.9825500827064
2021,3,Capital Federal,111.271055142509,45.9003834652686,70.5788534144302,21.9825500827064
2021,3,Catamarca,52.7097934860013,13.4074723766124,70.5788534144302,21.9825500827064
2021,3,Chaco,42.9624100796766,11.4821345600996,70.5788534144302,21.9825500827064
2021,3,Chubut,80.7097384765756,24.7383755028802,70.5788534144302,21.9825500827064
2021,3,Córdoba,81.2845665540848,24.8859576286757,70.5788534144302,21.9825500827064
2021,3,Corrientes,44.9008831266441,11.8228555121759,70.5788534144302,21.9825500827064
2021,3,Entre Ríos,62.1794014538577,18.5905655958691,70.5788534144302,21.9825500827064
2021,3,Formosa,33.9620335406843,8.64358218729535,70.5788534144302,21.9825500827064
